ID,Disjunction,Question,Group,Hypothesized_Bias,NOTES
28,Jane is talking to her mother or she is surfing the web.,"Based on the sentence, how possible is it that Jane is both talking to her mother and surfing the web?",experimental,N/A,EITHER
29,The painting is of a man or a woman. ,"Based on the sentence, how possible is it that the painting is both of a man and of a woman? ",experimental,Exclusive Biased,
30,You may eat an apple or a pear.,"Based on the sentence, how possible is it that you may eat both an apple and a pear?",experimental,N/A,
31,Gray is a professor of law or a judge. ,"Based on the sentence, how possible is it that Gray is both a professor of law and a judge? ",experimental,Exclusive Biased,
32,Martha is in love with Alf or Bert.,"Based on the sentence, how possible is it that Martha is in love with both Alf and Bert?",experimental,Exclusive Biased,
33,You may consult your notes or your textbook during the exam.,"Based on the sentence, how possible is it that you may consult your notes and your textbook during the exam?",experimental,Inclusive Biased,
34,Wilma is dating Albinoni or Boccherini.,"Based on the sentence, how possible is it that Wilma is dating both Albinoni and Boccherini?",experimental,Exclusive Biased,
35,Betty read “Ulysses” or “Finnegans Wake”.,"Based on the sentence, how possible is it that Betty read both “Ulysses” and “Finnegans Wake”?",experimental,N/A,
36,Barney has bought a Manet or a Monet.,"Based on the sentence, how possible is it that Barney bought both a Manet and a Monet?",experimental,Exclusive Biased,
37,Sue talked to John or Fred. ,"Based on the sentence, how possible is it that Sue talked to both John and Fred? ",experimental,Exclusive Biased,
38,You’re allowed to eat the cake or the ice-cream.,"Based on the sentence, how possible is it that you’re allowed to eat both the cake and the ice-cream?",experimental,Inclusive Biased,
39,He can climb Mt. Everest or ski the Matterhorn.,"Based on the sentence, how possible is it that he can both climb Mt. Everest and ski the Matterhorn?",experimental,Inclusive Biased,
40,There is beer in the fridge or the ice-bucket.,"Based on the sentence, how possible is it that there is beer in both the fridge and the ice-bucket?",experimental,Inclusive Biased,
41,Bring wine or dessert!,"Based on the sentence, how possible is it that the speaker wants you to bring both wine and dessert?",experimental,Exclusive Biased,CHANGE
42,John talked to Mary or Sue.,"Based on the sentence, how possible is it that John talked to both Mary and Sue?",experimental,Exclusive Biased,
43,There is money in box 20 or 25. ,"Based on the sentence, how possible is it that there is money in both box 20 and 25? ",experimental,Exclusive Biased,
44,"If everything goes well, we'll hire Mary or Sue. ","Based on the sentence, how possible is it that if everything goes well, they will hire both Mary and Sue? ",experimental,Exclusive Biased,EITHER/CHANGE
45,"If we hire Mary or Sue, everything will go well. ","Based on the sentence, how possible is it that if they hire Mary or Sue or both, everything will go well? ",experimental,Inclusive Biased,EITHER/CHANGE
46,He told them that you can find protein in meat or fish. ,"Based on the sentence, how possible is it that he meant that you can find protein in both meat and fish? ",experimental,Inclusive Biased,CHANGE
47,"Even though she did not have a lot of money, she offered to buy John an umbrella or a coat.","Based on the sentence, how possible is it that even though she did not have a lot of money, she would have been willing to buy John both an umbrella and a coat?",experimental,Exclusive Biased,CHANGE
48,Lauren is alive or not dead.,"Based on the sentence, how possible is it that Lauren is both alive and not dead?",control,control,
49,My dishwasher is off or not on.,"Based on the sentence, how possible is it that my dishwasher is both off and not on?",control,control,
50,Raccoons are nocturnal or are active primarily at night. ,"Based on the sentence, how possible is it that raccoons are both nocturnal and active primarily at night?",control,control,
51,My only pet is a cat or a dog. ,"Based on the sentence, how possible is it that the speaker's only pet is both a cat and a dog? ",control,control,CHANGE
52,Evan is a social drinker or does not drink alcohol.,"Based on the sentence, how possible is it that Evan is both a social drinker and does not drink alcohol?",control,control,
53,The defendant is innocent of all charges or guilty of all charges.,"Based on the sentence, how possible is it that the defendant is both innocent of all charges and guilty of all charges?",control,control,
